Entity: /m/05rwpb
Entity Name: Indie
K-hop: 2
Subgraph Nodes: 223
Subgraph Triples: 780

==================================================
Nodes in Subgraph:
==================================================
/m/011yhm	Fargo
/m/011yph	The Full Monty
/m/011ypx	Good Will Hunting
/m/011ysn	The Thin Red Line
/m/012jfb	Bowling for Columbine
/m/012yc	Alternative hip hop
/m/013b2h	44th Annual Grammy Awards
/m/014bpd	Heavy Metal
/m/016clz	Alternative rock
/m/016ks5	Mona Lisa
/m/016kv6	Salvador
/m/016mhd	Billy Elliot-GB
/m/016z43	The Fisher King
/m/016z5x	Chaplin
/m/0170xl	Gods and Monsters
/m/0170yd	Affliction
/m/0170z3	American History X
/m/0175zz	Dream pop
/m/017z49	Memento
/m/0181dw	RCA Records
/m/018vs	Bass guitar
/m/0190yn	Dancehall
/m/0193f	Big beat
/m/01bgqh	Grammy Award for Record of the Year
/m/01br2w	The Passion of the Christ
/m/01c427	Grammy Award for Best New Artist
/m/01c4_6	Grammy Award for Best Alternative Music Album
/m/01c72t	Composer
/m/01dc0c	Seven
/m/01g_bs	Acid house
/m/01gg59	A. R. Rahman
/m/01h18v	About Schmidt
/m/01kqq7	Wild at Heart
/m/01l2b3	Bend It Like Beckham
/m/01m13b	Dancer in the Dark
/m/01n30p	Ghost World
/m/01qncf	Drugstore Cowboy
/m/01rnly	The Cotton Club
/m/01trtc	Interscope Records
/m/01txts	Astralwerks
/m/01v_pj6	Fatboy Slim
/m/01vdm0	Electronic keyboard
/m/01vfqh	Barton Fink
/m/01vj9c	Bass
/m/01vt5c_	M.I.A.
/m/01w8g3	Calendar Girls
/m/01wy6	Clarinet
/m/01x214	Independent record label
/m/01xqw	Cello
/m/01y_px	Jeff Goldblum
/m/01zc2w	English Studies
/m/0209xj	Lost in Translation
/m/0214m4	Bromley
/m/0219x_	Indie film
/m/02237m	Central Saint Martins College of Art and Design
/m/0234j5	Jackie Brown
/m/023g6w	Dogville
/m/025sc50	Contemporary R&B
/m/026njb5	Red Road
/m/026t6	Drum
/m/0280061	This Is England
/m/0286vp	I Shot Andy Warhol
/m/029h7y	Electro
/m/02_06s	You Can Count on Me
/m/02b6n9	Boogie Nights
/m/02c6d	Dressed to Kill
/m/02d49z	Thirteen
/m/02dsz	Disc jockey-GB
/m/02f5qb	MTV Video Music Award for Video of the Year
/m/02f716	MTV Video Music Award for Best Direction
/m/02f71y	MTV Video Music Award for Best Choreography
/m/02f72_	MTV Video Music Award for Best Art Direction
/m/02f72n	MTV Video Music Award for Best Visual Effects
/m/02f73b	MTV Video Music Award for Best Editing
/m/02f73p	MTV Video Music Award for Best Cinematography
/m/02f777	MTV Video Music Award for Best Electronic Dance Music Video
/m/02fwfb	The Adventures of Priscilla, Queen of the Desert
/m/02g3gj	Grammy Award for Best Dance Recording
/m/02g8mp	Grammy Award for Best Engineered Album, Non-Classical
/m/02gdjb	Grammy Award for Best Pop Instrumental Performance
/m/02hfk5	The Barbarian Invasions
/m/02hnl	Drums
/m/02jkkv	Out of Sight
/m/02jx1	England
/m/02q8ms8	The Brothers Bloom
/m/02r858_	The Sweet Hereafter
/m/02rqwhl	The Savages
/m/02rv_dz	Juno
/m/02s4l6	Velvet Goldmine
/m/02stbw	Best in Show
/m/02tjl3	Shattered Glass
/m/02v1m7	Grammy Award for Best Music Video
/m/02v570	Fahrenheit 9/11
/m/02v5_g	Scream 2
/m/02w4v	Folk music
/m/02x0fs9	Lars and the Real Girl
/m/02zsn	Female
/m/0342h	Guitar
/m/0344gc	Monster's Ball
/m/037q31	When We Were Kings
/m/03cvwkr	Tough Guys Don't Dance
/m/03h_yy	The Singing Detective
/m/03hmt9b	Slumdog Millionaire
/m/03j6c	Hinduism
/m/03m4mj	Husbands and Wives
/m/03m8y5	Celebrity
/m/03q8xj	The Motorcycle Diaries
